No;ID;Name;
1;2.25.229093257444449614181904386480606822759;Gyrus précentral;
2;2.25.75342209718359523473790772950960877365;Gyrus post-central;
3;2.25.231564403638369819801886278540782952357;Lobule paracentral;
4;2.25.330546842226665625722692556605261021733;Aire de Broca;
5;2.25.80010592871985955314155493285298546805;Cortex prémoteur;
6;2.25.71958059036349216302918888887070982882;AMS;
7;2.25.148105129075399638812029631811138350576;Cortex préfrontal;
8;2.25.35619238214782855429494826743757006102;Gyrus cingulaire;
9;2.25.129965209752440320838006695739038256479;Insula;
10;2.25.156502094884695284685421754893186671705;Gyrus de Heschl;
11;2.25.225017767151981070085712234428342233491;Sillon Pariéto-occipital;
12;2.25.252970182809503203400727814106654416831;Sillon calcarin;
13;2.25.52417094292872762473403602730189240438;Sillon central;
14;2.25.25943875176410190478122904516448938383;Sillon cingulaire;
15;2.25.298382660586762379396029428138416800176;Sillon marginal;
16;2.25.158909172587167803274953667954572081079;Précunéus;
17;2.25.175521976871501848897218010649028988399;Cunéus;
18;2.25.77218290524580672205320409049837554155;Gyrus lingual;
19;2.25.111436307465363985404973786647797983275;Gyrus para hippocampique;
20;2.25.6550536529525962472557998182556683769;Aire de Wernicke;
21;2.25.154488936223351205361696310472490407303;Hippocampe;
22;2.25.7527237508848296408388793786561315914;Amygdale temporale;
23;2.25.168846822480275080955764557261884564488;Noyau caudé;
24;2.25.321796966453445680818285679740743939344;Thalamus;
25;2.25.81811910176037872341579581196817652421;Capsule interne;
26;2.25.16813584738180414208304493980449271321;Pallidum;
27;2.25.297681456863020867001636170253896818983;Putamen;
28;2.25.25645966250074927837397207246715897600;Nucleus accumbens;
29;2.25.316417528193043117420830527929524552920;Corps calleux;
30;2.25.276500907046644673143130218512830874995;Fornix;
31;2.25.135343158080866320077259084211974936380;Septum pellucidum;
32;2.25.8149368539861799219108660065516094506;Gyrus temporal supérieur;
33;2.25.81952732428443513981802200994538814049;Gyrus temporal moyen;
34;2.25.93197313075600222573586176726416289508;Gyrus temporal inférieur;
35;2.25.61535242905313163949330212884870789380;Gyrus fusiforme;
36;2.25.182445463649755945705280914029345617693;Pôle temporal;
37;2.25.338675274930224629660978894378478016928;Gyrus rectus;
38;2.25.224930324401636973229552931412728115159;Sillon olfactif;
39;2.25.299443556462094305577394336415311355887;Corps mamillaires;
40;2.25.215633863746898108060680052297030998301;Nerfs optiques;
41;2.25.320445544565130596000809316537825403658;Chiasma optique;
42;2.25.292407313450001341885834126534078172159;Bandelettes optiques;
43;2.25.27151367292821465370080896167799152430;Gyrus orbital;
44;2.25.200649923741066053051239157012964918401;Mésencéphale;
45;2.25.223855796461939815310163285132122174286;Lame quadrigéminale;
46;2.25.163721937975588718431080802496590994463;Pont;
47;2.25.214027669250219383798936038737669723996;Pédoncule cérébelleux moyen;
48;2.25.47922603863266955773269123233661158514;Pédoncule cérébelleux supérieur;
49;2.25.184151282818423335011668980289351609397;Pédoncule cérébelleux inférieur;
50;2.25.231865633994435511177896267920255386822;Pyramide bulbaire;
51;2.25.261680735957930814981064913307358022769;Olive bulbaire;
52;2.25.159453924364290887651931162895592041653;Vermis cérébelleux;
53;2.25.69499837979603145428720847753733044586;Hémisphère cérébelleux;
54;2.25.328020870309991828064636433224655540030;Amygdale cérébelleuse;
55;2.25.56732231673792899027713869274747005855;Fossette latérale du bulbe;
56;2.25.119513922652289859217641218935288471398;Lobule pariétal supérieur;
57;2.25.236467476171203123207316552130334143987;Lobule pariétal inférieur;
58;2.25.329234365335186965400687498669834613495;Cortex occipital externe;
59;2.25.266755721054702371233031998002730700907;Noyau dentelé;
60;2.25.221221402734134334925023611388832569999;Ventricule latéral;
61;2.25.143771687815423000970708691527299702963;V3;
62;2.25.308316451654458948065162951540461164310;Acqueduc;
63;2.25.188624494719491466454757388202259098762;V4;
64;2.25.243633089255864262598599656946955225661;Commissure antérieure;
65;2.25.335379194595267323172309703637860660286;Corona radiata;
66;2.25.148546251819020027568278437148883431417;Centre semi ovale;
67;2.25.126158911792319587869713024184911263857;Commissure postérieure;
68;2.25.274095431739913587094771423348306746542;Faisceau mamillothalamique;
